strata | prodi                                    | ex_ktw | sp_ktw |  dktw | ex_maba | sp_maba |  dmaba | ex_pct | sp_pct
--------------------------------------------------------------------------------------------------------------------------
D3     | administrasi perkantoran                 |      - |     13 |     - |       - |      18 |      - |      - |  72.2%  [only spordit]
D3     | akuntansi                                |      - |     26 |     - |       - |      37 |      - |      - |  70.3%  [only spordit]
D3     | d3 administrasi perkantoran              |     14 |      - |     - |      18 |       - |      - |  77.8% |      -  [only excel]
D3     | d3 akuntansi                             |     27 |      - |     - |      37 |       - |      - |  73.0% |      -  [only excel]
D3     | d3 hubungan masyarakat                   |      5 |      - |     - |      14 |       - |      - |  35.7% |      -  [only excel]
D3     | d3 keuangan dan perbankan                |     12 |      - |     - |      16 |       - |      - |  75.0% |      -  [only excel]
D3     | d3 manajemen informatika                 |     12 |      - |     - |      34 |       - |      - |  35.3% |      -  [only excel]
D3     | d3 manajemen pemasaran                   |      9 |      - |     - |      14 |       - |      - |  64.3% |      -  [only excel]
D3     | d3 perpajakan                            |     26 |      - |     - |      38 |       - |      - |  68.4% |      -  [only excel]
D3     | d3 perpustakaan                          |      7 |      - |     - |      11 |       - |      - |  63.6% |      -  [only excel]
D3     | d3 teknik mesin                          |      6 |      - |     - |      12 |       - |      - |  50.0% |      -  [only excel]
D3     | hubungan masyarakat                      |      - |      1 |     - |       - |      14 |      - |      - |   7.1%  [only spordit]
D3     | keuangan  dan  perbankan                 |      - |     12 |     - |       - |      16 |      - |      - |  75.0%  [only spordit]
D3     | manajemen informatika                    |      - |     11 |     - |       - |      34 |      - |      - |  32.4%  [only spordit]
D3     | manajemen pemasaran                      |      - |      8 |     - |       - |      14 |      - |      - |  57.1%  [only spordit]
D3     | perpajakan                               |      - |     26 |     - |       - |      39 |      - |      - |  66.7%  [only spordit]
D3     | perpustakaan                             |      - |      5 |     - |       - |      11 |      - |      - |  45.5%  [only spordit]
D3     | survey dan pemetaan                      |      - |      0 |     - |       - |      17 |      - |      - |   0.0%  [only spordit]
D3     | teknik mesin                             |      - |      5 |     - |       - |      12 |      - |      - |  41.7%  [only spordit]
D3     | teknik sipil                             |      - |      4 |     - |       - |      17 |      - |      - |  23.5%  [only spordit]
S1     | agribisnis                               |     57 |     52 |    +5 |     105 |     105 |     +0 |  54.3% |  49.5%
S1     | akuntansi                                |     72 |     65 |    +7 |     140 |     141 |     -1 |  51.4% |  46.1%
S1     | arsitektur                               |     32 |      9 |   +23 |      85 |      85 |     +0 |  37.6% |  10.6%
S1     | biologi                                  |     86 |     65 |   +21 |     133 |     133 |     +0 |  64.7% |  48.9%
S1     | biologi terapan                          |     31 |     26 |    +5 |      57 |      57 |     +0 |  54.4% |  45.6%
S1     | budidaya perairan                        |     21 |     17 |    +4 |      57 |      57 |     +0 |  36.8% |  29.8%
S1     | ekonomi pembangunan                      |     62 |     48 |   +14 |     127 |     127 |     +0 |  48.8% |  37.8%
S1     | farmasi                                  |     47 |     39 |    +8 |      66 |      66 |     +0 |  71.2% |  59.1%
S1     | fisika                                   |     51 |     28 |   +23 |      94 |      94 |     +0 |  54.3% |  29.8%
S1     | geofisika                                |      - |     15 |     - |       - |      74 |      - |      - |  20.3%  [only spordit]
S1     | hubungan internasional                   |     62 |     54 |    +8 |     144 |     145 |     -1 |  43.1% |  37.2%
S1     | ilmu administrasi bisnis                 |    114 |      - |     - |     155 |       - |      - |  73.5% |      -  [only excel]
S1     | ilmu administrasi negara                 |     73 |     43 |   +30 |     151 |     151 |     +0 |  48.3% |  28.5%
S1     | ilmu administrasi niaga                  |      - |     96 |     - |       - |     156 |      - |      - |  61.5%  [only spordit]
S1     | ilmu hukum                               |    518 |    420 |   +98 |     779 |     779 |     +0 |  66.5% |  53.9%
S1     | ilmu komputer                            |     63 |     47 |   +16 |     110 |     111 |     -1 |  57.3% |  42.3%
S1     | ilmu komunikasi                          |     83 |     72 |   +11 |     146 |     146 |     +0 |  56.8% |  49.3%
S1     | ilmu pemerintahan                        |     82 |     59 |   +23 |     125 |     125 |     +0 |  65.6% |  47.2%
S1     | ilmu tanah                               |     22 |     18 |    +4 |      69 |      69 |     +0 |  31.9% |  26.1%
S1     | kehutanan                                |     64 |     56 |    +8 |      92 |      92 |     +0 |  69.6% |  60.9%
S1     | kimia                                    |     91 |     55 |   +36 |     125 |     125 |     +0 |  72.8% |  44.0%
S1     | manajemen                                |     90 |     78 |   +12 |     150 |     150 |     +0 |  60.0% |  52.0%
S1     | matematika                               |    107 |    102 |    +5 |     135 |     135 |     +0 |  79.3% |  75.6%
S1     | nutrisi dan teknologi pakan              |      - |     30 |     - |       - |      59 |      - |      - |  50.9%  [only spordit]
S1     | nutrisi dan teknologi pakan ternak       |     36 |      - |     - |      59 |       - |      - |  61.0% |      -  [only excel]
S1     | pendidikan bahasa dan sastra indonesia   |     70 |      - |     - |     101 |       - |      - |  69.3% |      -  [only excel]
S1     | pendidikan bahasa inggris                |     64 |     58 |    +6 |     102 |     102 |     +0 |  62.7% |  56.9%
S1     | pendidikan bahasa lampung                |     34 |     20 |   +14 |      94 |      94 |     +0 |  36.2% |  21.3%
S1     | pendidikan bahasa sastra indonesia & dae |      - |     56 |     - |       - |     101 |      - |      - |  55.5%  [only spordit]
S1     | pendidikan dokter                        |    187 |    180 |    +7 |     207 |     207 |     +0 |  90.3% |  87.0%
S1     | pendidikan ekonomi                       |     81 |     70 |   +11 |      97 |      97 |     +0 |  83.5% |  72.2%
S1     | pendidikan fisika                        |     59 |     53 |    +6 |      80 |      80 |     +0 |  73.8% |  66.2%
S1     | pendidikan geografi                      |     54 |     46 |    +8 |      90 |      90 |     +0 |  60.0% |  51.1%
S1     | pendidikan guru pendidikan anak usia din |     39 |      - |     - |      66 |       - |      - |  59.1% |      -  [only excel]
S1     | pendidikan guru sekolah dasar            |    273 |    220 |   +53 |     355 |     355 |     +0 |  76.9% |  62.0%
S1     | pendidikan jasmani                       |     64 |     43 |   +21 |     105 |     105 |     +0 |  61.0% |  41.0%
S1     | pendidikan kimia                         |     41 |     34 |    +7 |      84 |      84 |     +0 |  48.8% |  40.5%
